title,code
underwriting clerks supervisor,43-1011
want ad supervisor,43-1011
ward service supervisor,43-1011
weigh boss,43-1011
word processing supervisor,43-1011
answering service telephone operator,43-2011
central communications specialist,43-2011
combination operator,43-2011
command and control specialist,43-2011
communication center operator,43-2011
communication coordinator,43-2011
complaint operator,43-2011
desk operator,43-2011
exchange operator,43-2011
operators teacher,43-2011
pbx teacher,43-2011
police district switchboard operator,43-2011
private branch exchange service adviser,43-2011
switchboard receptionist,43-2011
tandem operator,43-2011
telegraph office telephone clerk,43-2011
test operator,43-2011
through operator,43-2011
traffic observer,43-2011
traffic operator,43-2011
bilingual operator,43-2021
central office operator,43-2021
change number operator,43-2021
directory operator,43-2021
inward toll operator,43-2021
local operator,43-2021
long distance billing operator,43-2021
long lines operator,43-2021
pbx operator (post box exchange operator),43-2021
phone operator,43-2021
rate quoting operator,43-2021
toll relief operator,43-2021
toll service observer,43-2021
traffic administrator,43-2021
trouble operator,43-2021
interceptor operator,43-2099
news wire photo operator,43-2099
relay telegrapher,43-2099
telegraph dispatcher,43-2099
telegraph operator,43-2099
telegrapher,43-2099
telegrapher agent,43-2099
wire transfer clerk,43-2099
wireless operator,43-2099
wireless telegrapher,43-2099
wireless watcher,43-2099
account receivable associate,43-3011
account resolution analyst,43-3011
account service representative,43-3011
bad credit collector,43-3011
car repossessor,43-3011
claims collector,43-3011
collection manager,43-3011
collection specialist,43-3011
collections agent,43-3011
collections analyst,43-3011
collections officer,43-3011
credit collections manager,43-3011
customer account specialist,43-3011
delinquency counselor,43-3011
dunner,43-3011
group billing coordinator,43-3011
insurance billing clerk,43-3011
medical collections specialist,43-3011
patient accounts clerk,43-3011
patient financial service representative,43-3011
recovery collector,43-3011
rent collector,43-3011
self pay representative,43-3011
accounting machine operator,43-3021
accounts adjustable clerk,43-3021
adding machine operator,43-3021
audit machine operator,43-3021
bookkeeping and billing machine operator,43-3021
bookkeeping machine operator,43-3021
calculator operator,43-3021
check writer,43-3021
comptometer operator,43-3021
comptometrist,43-3021
electric accounting machine operator (eam operator),43-3021
invoice machine operator,43-3021
invoicing specialist,43-3021
machine accountant,43-3021
machine biller,43-3021
machine bookkeeper,43-3021
ncr operator (national cash register operator),43-3021
payroll machine operator,43-3021
post tronic machine operator,43-3021
posting machine operator,43-3021
receivables specialist,43-3021
reconciliation machine operator,43-3021
tray checker,43-3021
account analyst,43-3021
check totaler,43-3021
item processor,43-3021
reconciler,43-3021
bill checker,43-3021
bill clerk,43-3021
bill of lading clerk,43-3021
bill of materials clerk (bom clerk),43-3021
billing analyst,43-3021
billing and accounting staff assistant,43-3021
billing assistant,43-3021
billing control clerk,43-3021
billing typist,43-3021
cod clerk (cash on delivery clerk),43-3021
cost recorder,43-3021
demurrage agent,43-3021
demurrage clerk,43-3021
demurrage worker,43-3021
deposit clerk,43-3021
deposit refund clerk,43-3021
documentation billing clerk,43-3021
estimate clerk,43-3021
fee clerk,43-3021
foreign clerk,43-3021
freight rate analyst,43-3021
freight rate clerk,43-3021
freight rate specialist,43-3021
insurance rater,43-3021
interline clerk,43-3021
invoice checker,43-3021
medical billing clerk,43-3021
medical coding specialist,43-3021
medical insurance biller,43-3021
medical voucher clerk,43-3021
message and delivery service pricer,43-3021
policy value calculator,43-3021
price lister,43-3021
pricer,43-3021
pricing clerk,43-3021
principal account clerk,43-3021
rate clerk,43-3021
rate examiner,43-3021
rate marker,43-3021
rate reviewer,43-3021
rate setter,43-3021
rater,43-3021
rating clerk,43-3021
rating examiner,43-3021
receipt and report clerk,43-3021
revising clerk,43-3021
services clerk,43-3021
spot billing clerk,43-3021
telegraph service rater,43-3021
toll settlement clerk,43-3021
toll ticket clerk,43-3021
traffic rate clerk,43-3021
traffic rate computer,43-3021
yard demurrage clerk,43-3021
account information clerk,43-3031
account receivable clerk,43-3031
accountant assistant,43-3031
accountant clerk,43-3031
accountant helper,43-3031
accounting representative,43-3031
advice clerk,43-3031
amortization clerk,43-3031
audit clerk,43-3031
balance clerk,43-3031
bank reconciliator,43-3031
bond clerk,43-3031
bookkeeper assistant,43-3031
budget clerk,43-3031
budget technician,43-3031
canceling and cutting control clerk,43-3031
cash accounting clerk,43-3031
cash register balancer,43-3031
chart computer,43-3031
chart picker,43-3031
chart reader,43-3031
chart snatcher,43-3031
check clerk,43-3031
check processing clerk,43-3031
chief wheelage clerk,43-3031
classification analyst,43-3031
classification control clerk,43-3031
clearing house clerk,43-3031
clerk analyst,43-3031
clipman,43-3031
collateral clerk,43-3031
commodity loan clerk,43-3031
computer bookkeeper,43-3031
daily sales audit clerk,43-3031
discount clerk,43-3031
distribution accounting clerk,43-3031
dividend deposit voucher clerk,43-3031
export clerk,43-3031
export documents clerk,43-3031
figure clerk,43-3031
financial processing clerk,43-3031
financial recording clerk,43-3031
fiscal accounting clerk,43-3031
fiscal technician,43-3031
foreclosure clerk,43-3031
full charge bookkeeper,43-3031
general ledger bookkeeper,43-3031
import and export clerk,43-3031
journal clerk,43-3031
ledger clerk,43-3031
ledger poster,43-3031
letter of credit clerk,43-3031
mortgage loan computation clerk,43-3031
office bookkeeper,43-3031
pari mutual ticket checker,43-3031
payment processor,43-3031
price checker,43-3031
price clerk,43-3031
principal accounts clerk,43-3031
reconcilement clerk,43-3031
reconciliation analyst,43-3031
remittance clerk,43-3031
reserves clerk,43-3031
returned item clerk,43-3031
safekeeping clerk,43-3031
sales audit clerk,43-3031
stock transfer clerk,43-3031
typing bookkeeper,43-3031
voucher examiner,43-3031
gambling cashier,43-3041
bonus clerk,43-3051
checkman,43-3051
commission clerk,43-3051
payroll and benefits specialist,43-3051
payroll associate,43-3051
payroll officer,43-3051
payroll processor,43-3051
payroll secretary,43-3051
personnel and payroll technician,43-3051
piece work checker,43-3051
sign out clerk,43-3051
time checker,43-3051
time recorder,43-3051
wanigan clerk,43-3051
departmental buyer,43-3061
procurement coordinator,43-3061
purchasing administrative assistant,43-3061
purchasing department clerk,43-3061
collection teller,43-3071
drive-in teller,43-3071
foreign banknote teller trader,43-3071
mail teller,43-3071
note teller,43-3071
paying teller,43-3071
utility teller,43-3071
brokerage coordinator,43-4011
client service representative,43-4011
information clerk brokerage,43-4011
otc clerk (over the counter clerk),43-4011
portfolio assistant,43-4011
quotation checker,43-4011
quotation clerk,43-4011
registered associate,43-4011
securities settlement processor,43-4011
transaction processor,43-4011
authorization coordinator,43-4021
authorization representative,43-4021
collection correspondent,43-4021
commercial correspondent,43-4021
correspondence analyst,43-4021
correspondence dictator,43-4021
correspondence renew clerk,43-4021
correspondence review clerk,43-4021
correspondence specialist,43-4021
fans clerk,43-4021
legislative correspondent,43-4021
medical authorization specialist,43-4021
membership correspondent,43-4021
office correspondent,43-4021
sales correspondent,43-4021
appeals and generalist clerk,43-4031
appellate court clerk,43-4031
chief deputy clerk/bailiff,43-4031
chief deputy court clerk,43-4031
circuit clerk,43-4031
civil clerk,43-4031
clerk of superior court,43-4031
court assistant,43-4031
court attendant,43-4031
court crier,43-4031
court operations clerk,43-4031
courtroom deputy or calendar clerk,43-4031
deputy clerk of superior court,43-4031
deputy county clerk,43-4031
deputy felony clerk,43-4031
docketing specialist,43-4031
judge's clerk,43-4031
minute clerk,43-4031
minute clerk for basic traffic,43-4031
senior court office assistant,43-4031
senior courtroom clerk,43-4031
sessions clerk,43-4031
subpoena server,43-4031
summons server,43-4031
superior court clerk,43-4031
crier,43-4031
deputy administrator,43-4031
deputy register of deeds,43-4031
town administrator,43-4031
agent licensing clerk,43-4031
animal control licensing worker,43-4031
license distributor,43-4031
license issuer,43-4031
licensing services clerk,43-4031
renewal specialist,43-4031
tag clerk,43-4031
authorizer,43-4041
commercial credit officer,43-4041
credit adjuster,43-4041
credit assistant,43-4041
credit officer,43-4041
credit review officer,43-4041
credit risk officer,43-4041
credit risk review officer,43-4041
call out operator,43-4041
commercial credit head,43-4041
commercial credit lead,43-4041
credit historian,43-4041
credit interviewer,43-4041
credit operations processor,43-4041
credit rating inspector,43-4041
credit reporter,43-4041
credit verifier,43-4041
education finance processor,43-4041
farm loan inspector,43-4041
insurance and accounts receivable coordinator,43-4041
account adjuster,43-4051
at home independent call center agent,43-4051
bill adjuster,43-4051
claim clerk,43-4051
